ProductName,image,link,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Item Form,Scent,Brand,Product Benefits,Skin Type,Item Weight,Active Ingredients,Item Volume,Material Feature,Product Dimensions,Date First Available,Manufacturer,ASIN,Item part number,Country of Origin,Item Dimensions LxWxH,Net Quantity,Generic Name,Use for,Item model number,Number of Items,Special Ingredients,Material Type Free,Is Discontinued By Manufacturer,Packer,Included Components,Age Range (Description),Special Feature,Package Dimensions,Skin Tone,Hair Type,Liquid Volume,Colour,Flavour,Recommended Uses For Product,Importer,Package Information,Finish Type,Sun Protection
"The Man Company Complete Coffee Face Care Kit for Men | Face Scrub, Face Wash, Face Pack, Face Serum & Face Cream | Aloe Vera, Hyaluronic Acid | Tan Removal, Deep Cleanser, Sun Protection | Soft, Supple Skin | Gift for Him - Set of 5",https://m.media-amazon.com/images/I/61ZUKC1oM7L._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzAzNjU2OTc3Njc5MjgzOjE2ODAwNjk5NjM6c3BfYXRmOjIwMTE2ODk0MTE0MTk4OjowOjo&url=%2FMan-Company-Caffeine-Grooming-Hyaluronic%2Fdp%2FB08NXFX424%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2VW8QLURXD1EQ%26keywords%3Dman%2Bcompany%26qid%3D1680069963%26sprefix%3Dman%2Bcompany%252Caps%252C286%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,174","1,895",4.2,636,59%,24%,8%,3%,7%,https://amazon.in/Man-Company-Caffeine-Grooming-Hyaluronic/product-reviews/B08NXFX424/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cream,Coffee,The Man Company,"Brightening, Rejuvenating, Detoxifying, Tan Removal, Hydrating, Smoothing",All,50 g,Coffee,30 Millilitres,Natural,34.79 x 20.1 x 5.2 cm; 50 Grams,23-Dec-20,VEDIC NATURAL CARE PRIVATE LIMITED,B08NXFX424,TMC-WEB-974,India,34.8 x 20.1 x 5.2 Centimeters,5.00 count,Face Pack,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"mCaffeine Gift for Men with Premium Coffee Skincare Range | Birthday Gift with Face Wash, Face Scrub, Body Wash & Sunscreen | Premium Packaging | Pack of 4",https://m.media-amazon.com/images/I/61VH0UvJdvL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzAzNjU2OTc3Njc5MjgzOjE2ODAwNjk5NjM6c3BfYXRmOjIwMTE1MTU3Mzg3MDk4OjowOjo&url=%2FmCaffeine-Skincare-Birthday-Sunscreen-Packaging%2Fdp%2FB0BSQLGSL7%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2VW8QLURXD1EQ%26keywords%3Dman%2Bcompany%26qid%3D1680069963%26sprefix%3Dman%2Bcompany%252Caps%252C286%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,999,"1,236",4.3,14,55%,36%,Not available,Not available,9%,https://amazon.in/mCaffeine-Skincare-Birthday-Sunscreen-Packaging/product-reviews/B0BSQLGSL7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Coffee,mcaffeine,Not available,All,1 kg 320 g,Not available,Not available,"Alcohol Free, Natural, Vegan",32.5 x 20 x 7.5 cm; 1.32 Kilograms,20-Jan-23,Not available,B0BSQLGSL7,Not available,India,32.5 x 20 x 7.5 Centimeters,400.0 millilitre,Body Care Gift Set,Whole Body,MGKIT50_SES,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The Man Company Daily Moisturising Cream With Shea Butter & Vitamin E for Moisturizing & Hydrating | All Skin Types | 50 gm,https://m.media-amazon.com/images/I/71WFqdlFwDL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzAzNjU2OTc3Njc5MjgzOjE2ODAwNjk5NjM6c3BfYXRmOjIwMDg5NTEwOTQ4MjA2OjowOjo&url=%2FMan-Company-Daily-Moisturising-butter%2Fdp%2FB07JNH9W9J%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2VW8QLURXD1EQ%26keywords%3Dman%2Bcompany%26qid%3D1680069963%26sprefix%3Dman%2Bcompany%252Caps%252C286%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,247,349,4.1,"4,814",48%,27%,13%,4%,7%,https://amazon.in/Man-Company-Daily-Moisturising-butter/product-reviews/B07JNH9W9J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cream,Shea Butter,The Man Company,Not available,Normal,50 g,Dimethicone,Not available,Not available,8 x 8 x 8 cm; 50 Grams,23-Oct-18,"The Man Company, Vedic Natural Care Private Limited,C-21, Sector-88, Industrial Area,Gautambudh Nagar -201305, Uttar Pradesh, India; +91 9667031212",B07JNH9W9J,Not available,India,8 x 8 x 8 Centimeters,50.0 gram,Moisturising cream,Face,TMC-WEB-396,1,Shea Butter,Paraben Free; Sulphate Free,No,"Helios Lifestyle Pvt ltd, Unit no. 522-526, Spaze edge tower B, 5th floor, Sector 47, Gurgaon-122002 - India; +91 9667031212",Moisturising cream,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"WOW Skin Science Apple Cider Vinegar Foaming Face Wash | Built in Brush for Deep Cleansing | For Oily Skin | Fresh, Clear Skin | Acne | Paraben & Sulphates Free | Face Wash for Women & Men | 150 ml",https://m.media-amazon.com/images/I/81SrMFfHAHL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzAzNjU2OTc3Njc5MjgzOjE2ODAwNjk5NjM6c3BfYXRmOjIwMTA0MjAwNDI1Nzk4OjowOjo&url=%2FWOW-Organic-Vinegar-Foaming-Built%2Fdp%2FB07SQXPW35%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2VW8QLURXD1EQ%26keywords%3Dman%2Bcompany%26qid%3D1680069963%26sprefix%3Dman%2Bcompany%252Caps%252C286%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,275,389,4.1,"45,092",51%,24%,13%,5%,7%,https://amazon.in/WOW-Organic-Vinegar-Foaming-Built/product-reviews/B07SQXPW35/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Liquid,Aloe Vera,WOW Skin Science,Not available,All,142 g,Not available,Not available,Organic,6 x 5 x 13 cm; 141.75 Grams,30-Mar-18,"Kapco International Limited, Kapco International Limited, Parwanoo Sector-3, Himachal Pradesh: 173220; Contact: 7892172641",B07SQXPW35,Not available,India,6 x 5 x 13 Centimeters,200.0 millilitre,"Apple Cider Vinegar Foaming Face Wash - No Parabens, Sulphate and Silicones (With Built-In Brush)",Not available,8.90E+12,1,Not available,Paraben Free,No,"Kapco International Limited, Parwanoo Sector-3, Himachal Pradesh: 173220; Contact: 7892172641",Face Wash,Adult,"Organic, Cruelty Free, Paraben Free",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The Man Company Blanc Perfume for Men - 120ml | Premium Luxury Long Lasting Fragrance Spray | No Gas Deodorant for Men | Gift for him,https://m.media-amazon.com/images/I/31Xh1Nye5rL._AC_UL320_.jpg,https://amazon.in/Man-Company-Non-Gas-Perfume-Blanc/dp/B07DYPK1V2/ref=sr_1_5?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-5,293,349,4,"10,161",49%,24%,12%,5%,9%,https://amazon.in/Man-Company-Non-Gas-Perfume-Blanc/product-reviews/B07DYPK1V2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Blanc Body Perfume,Liquid,Fresh,The Man Company,Not available,Not available,120 g,Not available,120 Millilitres,Cruelty Free,Not available,22-Jun-18,HELIOS PACKAGING PVT. LTD,B07DYPK1V2,Not available,India,Not available,120.0 millilitre,Deodorant,Not available,TMC-WEB-255,1,Not available,Gas Free,No,Not available,Not available,Not available,Scented,16.3 x 5.4 x 5.3 cm; 120 Grams,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Black EDT Perfume For Men - 50ml | Premium Long Lasting Fragrance Spray | Gift for Husband, Boyfriend",https://m.media-amazon.com/images/I/71GkGHg3KnL._AC_UL320_.jpg,https://amazon.in/Man-Company-Black-EDT-India/dp/B08BLKW619/ref=sr_1_6?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-6,454,"1,299",3.8,"8,602",47%,19%,14%,7%,13%,https://amazon.in/Man-Company-Black-EDT-India/product-reviews/B08BLKW619/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Liquid,Fresh,The Man Company,Not available,Not available,120 g,Not available,50 Millilitres,Not available,Not available,22-Jun-20,"Helios Packaging Private Limited, Helios Packaging Pvt. Ltd. Plot No - A-140, EPIP Neemrana Industrial Area Rajasthan, Neemrana, Rajasthan, 301705, India",B08BLKW619,TMC-WEB-727,India,Not available,1.00 count,Not available,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Scented,10.8 x 6.2 x 2.9 cm; 120 Grams,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The Man Company Daily Moisturising Cream With Shea Butter & Vitamin E for Moisturizing & Hydrating | All Skin Types | 50 gm,https://m.media-amazon.com/images/I/71WFqdlFwDL._AC_UL320_.jpg,https://amazon.in/Man-Company-Daily-Moisturising-butter/dp/B07JNH9W9J/ref=sr_1_7?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-7,247,349,4.1,"4,814",48%,27%,13%,4%,7%,https://amazon.in/Man-Company-Daily-Moisturising-butter/product-reviews/B07JNH9W9J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cream,Shea Butter,The Man Company,Not available,Normal,50 g,Dimethicone,Not available,Not available,8 x 8 x 8 cm; 50 Grams,23-Oct-18,"The Man Company, Vedic Natural Care Private Limited,C-21, Sector-88, Industrial Area,Gautambudh Nagar -201305, Uttar Pradesh, India; +91 9667031212",B07JNH9W9J,Not available,India,8 x 8 x 8 Centimeters,50.0 gram,Moisturising cream,Face,TMC-WEB-396,1,Shea Butter,Paraben Free; Sulphate Free,No,"Helios Lifestyle Pvt ltd, Unit no. 522-526, Spaze edge tower B, 5th floor, Sector 47, Gurgaon-122002 - India; +91 9667031212",Moisturising cream,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The Man Company Vitamin C Face Serum With Hyaluronic Acid (30 ml (Pack of 1)),https://m.media-amazon.com/images/I/51znnZZ3g6L._AC_UL320_.jpg,https://amazon.in/Man-Company-Hyaluronic-Brightening-Anti-Ageing/dp/B08539BSR1/ref=sr_1_8?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-8,379,499,4,"3,716",48%,26%,13%,5%,7%,https://amazon.in/Man-Company-Hyaluronic-Brightening-Anti-Ageing/product-reviews/B08539BSR1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Liquid,Aloe Vera,The Man Company,Brightening,Dry,80 g,"Hyaluronic acid,vitamin c",Not available,Natural,17.5 x 7.5 x 8.8 cm; 80 Grams,23-Feb-20,Vedic Natural Care Private Limited,B08539BSR1,Not available,India,17.5 x 7.5 x 8.8 Centimeters,1.00 count,40% Vitamin C Face Serum with Hyaluronic Acid for Brightening and Anti-Ageing,Face,TMC-WEB-629,Not available,"Hyaluronic Acid, Aloe Vera",Not available,No,Not available,Not available,Not available,Not available,Not available,All,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Anti-Graying Hair & Beard Serum for Men Enriched with Bhringraj, Arcolys, & Shikakai | Hair Shine & Nourishment | Delay & Reverses Grays | Strengthen Hair & Bread Roots | Toxin Free | For All Hair Type - 30ml",https://m.media-amazon.com/images/I/71FCsEtKroL._AC_UL320_.jpg,https://amazon.in/Man-Company-Anti-Graying-Nourishment-Strengthen/dp/B0BQN1869S/ref=sr_1_9?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-9,209,299,4.5,39,69%,18%,10%,4%,Not available,https://amazon.in/Man-Company-Anti-Graying-Nourishment-Strengthen/product-reviews/B0BQN1869S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Serum,Bhringraj,The Man Company,Anti-Fade,Not available,100 g,Not available,Not available,Not available,Not available,20-Dec-22,Krauter Healthcare Ltd.,B0BQN1869S,TMC-WEB-2781,India,Not available,30.0 millilitre,Not available,Not available,Not available,1,Not available,Paraben Free,Not available,Not available,Not available,Not available,Not available,12.7 x 4.1 x 3.9 cm; 100 Grams,Not available,All,30 Millilitres,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Multifaceted No Gas Deodorant Set | Bleu, Blanc, Noir, Rouge | Body Spray Perfume for Men | Premium Long Lasting Fragrance | Luxury Gift Kit - (120ml *4)",https://m.media-amazon.com/images/I/71dObqojlZL._AC_UL320_.jpg,https://amazon.in/Man-Company-Multifaceted-Non-Gas-Perfume/dp/B07JN3KYDR/ref=sr_1_10?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-10,"1,088","1,396",4.3,"2,678",66%,16%,8%,3%,7%,https://amazon.in/Man-Company-Multifaceted-Non-Gas-Perfume/product-reviews/B07JN3KYDR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Spray,Wood ,The Man Company,Not available,Not available,480 g,Not available,120 Millilitres,Not available,36.9 x 23.8 x 10 cm; 480 Grams,22-Oct-18,"GOODNESS OF NATURE, GOODNESS OF NATURE,128/230, H-Block, Kidwai Nagar,Kanpur- 208011, Uttar Pradesh, India",B07JN3KYDR,Not available,India,36.9 x 23.8 x 10 Centimeters,480.0 millilitre,Multifaceted Non-Gas Body Perfume Combo,Not available,TMC-WEB-294,Not available,Not available,Not available,No,Not available,Not available,Not available,"Long Lasting, No Gas",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Patchouli & Sea Salt Perfumed Body Wash for Men –200 ml | Shower Gel for Deep Moisturization & Smooth Skin | Enriched With Green Tea, Turmeric & Moringa Extract | Toxin Free",https://m.media-amazon.com/images/I/61LDLIG+XWL._AC_UL320_.jpg,https://amazon.in/Man-Company-Patchouli-Perfumed-Moisturization/dp/B0BKPS7RCL/ref=sr_1_11?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-11,200,299,4.3,659,70%,11%,8%,4%,7%,https://amazon.in/Man-Company-Patchouli-Perfumed-Moisturization/product-reviews/B0BKPS7RCL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,Patchouli,The Man Company,Not available,All,230 g,Not available,Not available,Cruelty Free,Not available,27-Oct-22,Not available,B0BKPS7RCL,TMC-WEB-2871,India,Not available,200.0 millilitre,Not available,Not available,Not available,1,Not available,Paraben Free,Not available,Not available,Not available,Adult,"Not Tested On Animals, Scented",16.1 x 6.7 x 3.7 cm; 230 Grams,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Lightening Lip Balm with Vitamin E, Coconut & Olive Oil | Provides Lip Care to Dry, Chapped, Dark and Smoky Lips | Moisturizes, Nourishes, Soften Lips - 4gm",https://m.media-amazon.com/images/I/41UXnE13ULL._AC_UL320_.jpg,https://amazon.in/Man-Company-Lightening-Vitamin-Liquorice/dp/B08PBY7L13/ref=sr_1_12?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-12,194,249,3.6,"5,123",39%,21%,16%,8%,16%,https://amazon.in/Man-Company-Lightening-Vitamin-Liquorice/product-reviews/B08PBY7L13/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Stick,Not available,The Man Company,"Softening,Smoothening,Lightening,Nourishing,Moisturizing",Dry,4 g,Not available,Not available,Not available,Not available,27-Nov-20,Goodness of Nature,B08PBY7L13,TMC-WEB-976,India,Not available,1.00 count,Not available,Not available,Not available,1,Not available,Not available,Not available,Not available,Not available,Not available,Not available,7.4 x 3.4 x 3.3 cm; 4 Grams,Not available,Not available,Not available,Transparent,Mint,Not available,Not available,Not available,Not available,Not available
"The Man Company Beard Oil for Growing Beard Faster with Almond & Thyme, 100% NATURAL, Best Beard Growth Oil for Men, Nourishes & Strengthens Uneven Patchy Beard - 30ML",https://m.media-amazon.com/images/I/610c+f6qAJL._AC_UL320_.jpg,https://amazon.in/Man-Company-Beard-Moustache-Mooch/dp/B01J1KFWQG/ref=sr_1_13?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-13,248,350,3.8,"12,243",41%,25%,16%,7%,11%,https://amazon.in/Man-Company-Beard-Moustache-Mooch/product-reviews/B01J1KFWQG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,30 ml (Pack of 1),Oil,Almond,The Man Company,Not available,Not available,80 g,Almond & Thyme,Not available,Not available,Not available,01-Jan-17,Goodness of Nature,B01J1KFWQG,Not available,India,Not available,30.0 millilitre,Almond Thyme Beard Oil - 30ml,Not available,TMC-WEB-17,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,10.4 x 3.5 x 3.4 cm; 80 Grams,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The Man Company Vitamin C Face Wash (Buy 1 Get 1 FREE) with Turmeric and Moringa | Paraben Free,https://m.media-amazon.com/images/I/51Dr1pcI3oL._AC_UL320_.jpg,https://amazon.in/Man-Company-Vitamin-Turmeric-Moringa/dp/B09NKS6JMV/ref=sr_1_14?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-14,349,349,4.2,283,55%,25%,10%,4%,6%,https://amazon.in/Man-Company-Vitamin-Turmeric-Moringa/product-reviews/B09NKS6JMV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Turmeric,Liquid,Turmeric,The Man Company,Not available,All,280 g,Not available,Not available,Cruelty Free,17 x 7.5 x 8.75 cm; 280 Grams,23-Jul-20,"Vedic Natural Care Private Limited, HCP WELLNESS PVT LTD",B09NKS6JMV,TMC-WEB-2241,India,17 x 7.5 x 8.7 Centimeters,200.0 millilitre,Mask,Not available,Not available,2,Not available,Paraben Free,Not available,Not available,Not available,16 - 60,Not Tested On Animals,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The Man Company Blanc EDT Perfume for Men - 50ml | Premium Long Lasting Fragrance Spray | Gift for Men,https://m.media-amazon.com/images/I/71qzHcP8beL._AC_UL320_.jpg,https://amazon.in/Man-Company-Blanc-EDT-Perfume/dp/B09ZH2HXTY/ref=sr_1_15?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-15,449,899,4,"1,502",57%,17%,10%,4%,12%,https://amazon.in/Man-Company-Blanc-EDT-Perfume/product-reviews/B09ZH2HXTY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Liquid,"Musk, Citrusy & Aromatic",The Man Company,Not available,Not available,180 g,Not available,50 Millilitres,Not available,Not available,04-May-22,"Helios Packaging Pvt. Ltd., A -140, RIICO Industrial Area, EPIP, Neemrana Dist. Alwar - 301705, Rajasthan, India",B09ZH2HXTY,TMC-WEB-2479,India,Not available,50.0 millilitre,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Not Tested On Animals, Scented, Natural Ingredients",10.7 x 6 x 2.8 cm; 180 Grams,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Activated Charcoal Face Wash for Men Enriched with Ylang Ylang & Argan Essential Oils | Anti Pollution, Acne Oil Control | Deep Cleansing | Blackheads Removal | Suitable for All Skin Types-100ml",https://m.media-amazon.com/images/I/511yAirvs0L._AC_UL320_.jpg,https://amazon.in/Man-Company-Charcoal-Ylang-Ylang-Essential/dp/B06WGRDTC1/ref=sr_1_16?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-16,247,349,4,"3,940",47%,24%,15%,6%,7%,https://amazon.in/Man-Company-Charcoal-Ylang-Ylang-Essential/product-reviews/B06WGRDTC1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gel,"Rosemary, Ylang Ylang",The Man Company,Not available,All,93.4 g,Not available,Not available,Natural,17 x 7 x 9 cm; 93.55 Grams,14-Feb-17,The Man Company,B06WGRDTC1,Not available,India,17 x 7 x 9 Centimeters,100.0 millilitre,Not available,Not available,TMC-WEB-60,1,Not available,Paraben Free,No,Not available,Not available,Adult,Oil Free,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The Man Company Machismo Stronghold Hair Wax for Men| Stylish Matte Finish with Volume | Non Sticky - 100gm,https://m.media-amazon.com/images/I/617VJoUHIML._AC_UL320_.jpg,https://amazon.in/Man-Company-Machismo-Styling-Cream/dp/B07BLXWJNJ/ref=sr_1_17?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-17,247,349,3.8,"2,066",42%,26%,14%,7%,11%,https://amazon.in/Man-Company-Machismo-Styling-Cream/product-reviews/B07BLXWJNJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Wax,Almond,The Man Company,Volumizing,Not available,100 g,Not available,Not available,Not available,17.5 x 8.8 x 7.5 cm; 100 Grams,21-Mar-18,"NEO HERBALS, NEO HERBALS23, Ruby Ind.Est.,Navghar, Vasai (east),401202; +91 9667031212",B07BLXWJNJ,Not available,India,17.5 x 8.8 x 7.5 Centimeters,100 gram,Hair wax,Not available,TMC-WEB-242,1,Not available,Petroleum Free,No,"Helios Lifestyle Pvt ltd, Unit no. 522-526, Spaze edge tower B, 5th floor, Sector 47, Gurgaon-122002 - India; +91 9667031212",Hair wax,Not available,Not available,Not available,Not available,All,100 Millilitres,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Roll On Deo For Men – Blanc | Premium Fragrance with 24-Hour Freshness | Prevent Body Odour, Brightens & Exfoliates Under Arm | Long Lasting Deodorant – 55 ml",https://m.media-amazon.com/images/I/51ps5QJtgrL._AC_UL320_.jpg,https://amazon.in/Man-Company-Deodrant-Roll-Easy/dp/B0B82NGJKV/ref=sr_1_18?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-18,186,249,4.5,173,78%,8%,6%,3%,4%,https://amazon.in/Man-Company-Deodrant-Roll-Easy/product-reviews/B0B82NGJKV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Roll On,Lavender,The Man Company,Not available,Not available,180 g,Not available,55 Millilitres,Not available,Not available,29-Jul-22,PONTIKA AEROTECH LIMITED,B0B82NGJKV,TMC-WEB-2728,India,Not available,55.0 millilitre,Not available,Not available,Not available,1,Not available,Paraben Free,Not available,Not available,Not available,Not available,Scented,11.3 x 4.4 x 4.3 cm; 180 Grams,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"The Man Company Charcoal Grooming Kit with Body Wash, Shampoo, Face Scrub, Face Wash, Cleansing Gel, Solid Soap Bar | Combo Gift Set for Husband, Boyfriend - Set of 6",https://m.media-amazon.com/images/I/51N32fVwsbL._AC_UL320_.jpg,https://amazon.in/Man-Company-Charcoal-Grooming-Cleansing/dp/B08BCNLM58/ref=sr_1_19?crid=2VW8QLURXD1EQ&keywords=man+company&qid=1680069963&sprefix=man+company%2Caps%2C286&sr=8-19,"1,805","2,695",4.1,166,55%,24%,7%,5%,8%,https://amazon.in/Man-Company-Charcoal-Grooming-Cleansing/product-reviews/B08BCNLM58/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Not available,Not available,Not available,1 kg 730 g,Not available,Not available,Not available,Not available,16-Jun-20,"VEDIC NATURAL CARE PRIVATE LIMITED, GOODNESS OF NATURE,128/230, H-Block, Kidwai Nagar,Kanpur- 208011, Uttar Pradesh, India",B08BCNLM58,TMC-WEB-225T,India,Not available,6.00 count,Not available,Not available,Not available,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,31 x 21.1 x 8.2 cm; 1.73 Kilograms,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
